run_id,pid,start_time,end_time,duration_seconds,gamma,learning_rate,batch_size,epsilon_decay,is_slippery,seed,avg_final_reward
gamma_0.95_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_False_seed_29,20572,2025-11-11T13:53:45.963190,2025-11-11T13:55:26.778976,100.815786,0.95,0.0005,64,0.99,False,29,0.96
gamma_0.99_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_36,20236,2025-11-11T13:54:02.109395,2025-11-11T13:54:55.210854,53.101459,0.99,0.0005,64,0.995,False,36,0.93
gamma_0.95_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_False_seed_26,14604,2025-11-11T13:53:17.423907,2025-11-11T13:55:26.608838,129.184931,0.95,0.001,128,0.995,False,26,0.9
gamma_0.8_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_4,22412,2025-11-11T13:53:17.007198,2025-11-11T13:54:21.238399,64.231201,0.8,0.0005,64,0.995,False,4,0.89
gamma_0.99_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_32,20496,2025-11-11T13:53:48.267682,2025-11-11T13:55:18.973321,90.705639,0.99,0.001,64,0.995,False,32,0.59
gamma_0.9_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_False_seed_17,21036,2025-11-11T13:53:17.335232,2025-11-11T13:53:56.584984,39.249752,0.9,0.001,64,0.99,False,17,0.35
gamma_0.9_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_False_seed_16,21800,2025-11-11T13:53:17.334231,2025-11-11T13:54:57.943617,100.609386,0.9,0.001,64,0.995,False,16,0.29
gamma_0.99_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_False_seed_34,24548,2025-11-11T13:53:51.169735,2025-11-11T13:54:11.392861,20.223126,0.99,0.001,128,0.995,False,34,0.07
gamma_0.9_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_False_seed_23,21932,2025-11-11T13:53:17.418848,2025-11-11T13:55:51.979452,154.560604,0.9,0.0005,128,0.99,False,23,0.06
gamma_0.85_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_False_seed_15,20968,2025-11-11T13:53:17.310231,2025-11-11T13:55:41.808022,144.497791,0.85,0.0005,128,0.99,False,15,0.04
gamma_0.99_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_False_seed_33,13264,2025-11-11T13:53:50.014091,2025-11-11T13:55:47.432808,117.418717,0.99,0.001,64,0.99,False,33,0.01
gamma_0.95_learning_rate_0.0005_batch_size_128_epsilon_decay_0.995_is_slippery_False_seed_30,23184,2025-11-11T13:53:46.079442,2025-11-11T13:56:02.786320,136.706878,0.95,0.0005,128,0.995,False,30,0.0
gamma_0.99_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_False_seed_35,15000,2025-11-11T13:53:51.232825,2025-11-11T13:56:04.257962,133.025137,0.99,0.001,128,0.99,False,35,0.0
