run_id,pid,start_time,end_time,duration_seconds,gamma,learning_rate,batch_size,epsilon_decay,is_slippery,reward_schedule,seed,avg_final_reward
"gamma_0.8_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_2",9270,2025-11-18T11:02:53.520503,2025-11-18T11:02:56.727723,3.20722,0.8,0.001,128,0.995,True,"(1, -1, -0.01)",2,-1.06
"gamma_0.8_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_1",9268,2025-11-18T11:02:59.545267,2025-11-18T11:02:59.566454,0.021187,0.8,0.001,64,0.99,True,"(1, -1, -0.01)",1,-1.06
"gamma_0.85_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_13",9269,2025-11-18T11:02:59.470298,2025-11-18T11:02:59.485066,0.014768,0.85,0.0005,64,0.99,True,"(1, -1, -0.01)",13,-1.06
"gamma_0.8_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_5",9272,2025-11-18T11:02:59.493930,2025-11-18T11:02:59.509038,0.015108,0.8,0.0005,64,0.99,True,"(1, -1, -0.01)",5,-1.06
"gamma_0.99_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_39",9267,2025-11-18T11:03:01.451846,2025-11-18T11:03:01.460609,0.008763,0.99,0.0005,128,0.99,True,"(1, -1, -0.01)",39,-1.065
"gamma_0.9_learning_rate_0.0005_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_22",9272,2025-11-18T11:03:00.006224,2025-11-18T11:03:00.029238,0.023014,0.9,0.0005,128,0.995,True,"(1, -1, -0.01)",22,-1.065
"gamma_0.85_learning_rate_0.0005_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_14",9273,2025-11-18T11:02:54.043409,2025-11-18T11:02:56.773558,2.730149,0.85,0.0005,128,0.995,True,"(1, -1, -0.01)",14,-1.065
"gamma_0.95_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_27",9274,2025-11-18T11:03:00.563469,2025-11-18T11:03:00.580903,0.017434,0.95,0.001,128,0.99,True,"(1, -1, -0.01)",27,-1.07
"gamma_0.99_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_33",9271,2025-11-18T11:03:01.247822,2025-11-18T11:03:01.260311,0.012489,0.99,0.001,64,0.99,True,"(1, -1, -0.01)",33,-1.075
"gamma_0.85_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_12",9269,2025-11-18T11:02:53.811836,2025-11-18T11:02:56.734761,2.922925,0.85,0.0005,64,0.995,True,"(1, -1, -0.01)",12,-1.0750000000000002
"gamma_0.95_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_25",9270,2025-11-18T11:03:00.555194,2025-11-18T11:03:00.572788,0.017594,0.95,0.001,64,0.99,True,"(1, -1, -0.01)",25,-1.08
"gamma_0.95_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_29",9268,2025-11-18T11:03:00.657777,2025-11-18T11:03:00.671969,0.014192,0.95,0.0005,64,0.99,True,"(1, -1, -0.01)",29,-1.08
"gamma_0.8_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_0",9268,2025-11-18T11:02:53.432403,2025-11-18T11:02:56.768305,3.335902,0.8,0.001,64,0.995,True,"(1, -1, -0.01)",0,-1.085
"gamma_0.85_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_10",9267,2025-11-18T11:02:53.795659,2025-11-18T11:02:56.753630,2.957971,0.85,0.001,128,0.995,True,"(1, -1, -0.01)",10,-1.085
"gamma_0.95_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_28",9268,2025-11-18T11:03:00.131654,2025-11-18T11:03:00.143507,0.011853,0.95,0.0005,64,0.995,True,"(1, -1, -0.01)",28,-1.0899999999999999
"gamma_0.99_learning_rate_0.0005_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_38",9267,2025-11-18T11:03:00.988776,2025-11-18T11:03:01.004797,0.016021,0.99,0.0005,128,0.995,True,"(1, -1, -0.01)",38,-1.095
"gamma_0.95_learning_rate_0.0005_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_30",9273,2025-11-18T11:03:00.251094,2025-11-18T11:03:00.263791,0.012697,0.95,0.0005,128,0.995,True,"(1, -1, -0.01)",30,-1.105
"gamma_0.9_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_23",9272,2025-11-18T11:03:00.504750,2025-11-18T11:03:00.517574,0.012824,0.9,0.0005,128,0.99,True,"(1, -1, -0.01)",23,-1.1099999999999999
"gamma_0.95_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_24",9270,2025-11-18T11:03:00.114050,2025-11-18T11:03:00.124122,0.010072,0.95,0.001,64,0.995,True,"(1, -1, -0.01)",24,-1.115
"gamma_0.9_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_21",9267,2025-11-18T11:03:00.505592,2025-11-18T11:03:00.518466,0.012874,0.9,0.0005,64,0.99,True,"(1, -1, -0.01)",21,-1.125
"gamma_0.95_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_26",9274,2025-11-18T11:03:00.114829,2025-11-18T11:03:00.124583,0.009754,0.95,0.001,128,0.995,True,"(1, -1, -0.01)",26,-1.125
"gamma_0.85_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_9",9274,2025-11-18T11:02:59.503117,2025-11-18T11:02:59.525290,0.022173,0.85,0.001,64,0.99,True,"(1, -1, -0.01)",9,-1.13
