run_id,pid,start_time,end_time,duration_seconds,gamma,learning_rate,batch_size,epsilon_decay,is_slippery,reward_schedule,seed,avg_final_reward
"gamma_0.99_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_32",9271,2025-11-18T11:03:00.817988,2025-11-18T11:03:00.828833,0.010845,0.99,0.001,64,0.995,True,"(1, -1, -0.01)",32,-1.01
"gamma_0.85_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_15",9273,2025-11-18T11:02:59.814900,2025-11-18T11:02:59.832723,0.017823,0.85,0.0005,128,0.99,True,"(1, -1, -0.01)",15,-1.0150000000000001
"gamma_0.85_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_8",9274,2025-11-18T11:02:53.735921,2025-11-18T11:02:56.719442,2.983521,0.85,0.001,64,0.995,True,"(1, -1, -0.01)",8,-1.0150000000000001
"gamma_0.99_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_35",9269,2025-11-18T11:03:01.257307,2025-11-18T11:03:01.264535,0.007228,0.99,0.001,128,0.99,True,"(1, -1, -0.01)",35,-1.0150000000000001
"gamma_0.99_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_34",9269,2025-11-18T11:03:00.852887,2025-11-18T11:03:00.863194,0.010307,0.99,0.001,128,0.995,True,"(1, -1, -0.01)",34,-1.03
"gamma_0.9_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_20",9267,2025-11-18T11:02:59.974034,2025-11-18T11:02:59.992084,0.01805,0.9,0.0005,64,0.995,True,"(1, -1, -0.01)",20,-1.03
"gamma_0.8_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_3",9270,2025-11-18T11:02:59.586244,2025-11-18T11:02:59.601497,0.015253,0.8,0.001,128,0.99,True,"(1, -1, -0.01)",3,-1.0350000000000001
"gamma_0.95_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_31",9273,2025-11-18T11:03:00.659544,2025-11-18T11:03:00.669018,0.009474,0.95,0.0005,128,0.99,True,"(1, -1, -0.01)",31,-1.0350000000000001
"gamma_0.9_learning_rate_0.001_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_17",9269,2025-11-18T11:03:00.383754,2025-11-18T11:03:00.393860,0.010106,0.9,0.001,64,0.99,True,"(1, -1, -0.01)",17,-1.0350000000000001
"gamma_0.9_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_19",9271,2025-11-18T11:03:00.384285,2025-11-18T11:03:00.394763,0.010478,0.9,0.001,128,0.99,True,"(1, -1, -0.01)",19,-1.04
"gamma_0.8_learning_rate_0.0005_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_7",9271,2025-11-18T11:02:59.449229,2025-11-18T11:02:59.459265,0.010036,0.8,0.0005,128,0.99,True,"(1, -1, -0.01)",7,-1.04
"gamma_0.9_learning_rate_0.001_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_16",9269,2025-11-18T11:02:59.934404,2025-11-18T11:02:59.945469,0.011065,0.9,0.001,64,0.995,True,"(1, -1, -0.01)",16,-1.045
"gamma_0.99_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_36",9272,2025-11-18T11:03:00.943644,2025-11-18T11:03:00.952610,0.008966,0.99,0.0005,64,0.995,True,"(1, -1, -0.01)",36,-1.045
"gamma_0.8_learning_rate_0.0005_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_6",9271,2025-11-18T11:02:53.625711,2025-11-18T11:02:56.720545,3.094834,0.8,0.0005,128,0.995,True,"(1, -1, -0.01)",6,-1.045
"gamma_0.8_learning_rate_0.0005_batch_size_64_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_4",9272,2025-11-18T11:02:53.534786,2025-11-18T11:02:56.753234,3.218448,0.8,0.0005,64,0.995,True,"(1, -1, -0.01)",4,-1.05
"gamma_0.99_learning_rate_0.0005_batch_size_64_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_37",9272,2025-11-18T11:03:01.347501,2025-11-18T11:03:01.357280,0.009779,0.99,0.0005,64,0.99,True,"(1, -1, -0.01)",37,-1.0550000000000002
"gamma_0.85_learning_rate_0.001_batch_size_128_epsilon_decay_0.99_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_11",9267,2025-11-18T11:02:59.479208,2025-11-18T11:02:59.498025,0.018817,0.85,0.001,128,0.99,True,"(1, -1, -0.01)",11,-1.0550000000000002
"gamma_0.9_learning_rate_0.001_batch_size_128_epsilon_decay_0.995_is_slippery_True_reward_schedule_(1, -1, -0.01)_seed_18",9271,2025-11-18T11:02:59.936297,2025-11-18T11:02:59.950155,0.013858,0.9,0.001,128,0.995,True,"(1, -1, -0.01)",18,-1.0550000000000002
